Subdomain,IP,SOA-Primary-NS
cpcalendars.naran.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.gauravs.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.mana.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.mkumar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.demo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.chandanmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.ramesh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.neeldhara.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.amrutiya.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.krjp.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.gmanoj.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.bireswar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.chandanmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.manua.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.kabeer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.viru.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.adixit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
hegder.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.tannistha.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.nitin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.mana.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.kabeer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.manua.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.appayee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.gauravs.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.webmaster.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.atulsingh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.area51.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.cst.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.dgarg.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.gauravs.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.mkumar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.itigupta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
events.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
area51.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mse.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
arnapurna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
amit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
dic.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
shanmuga.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.dgarg.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.webmaster.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.manua.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
itigupta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
gnats.iitgn.ac.in,14.139.98.80,dnsm.iitgn.ac.in.
gauravs.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.gmanoj.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
