Subdomain,IP
mail.shanmuga.people.iitgn.ac.in,204.15.132.106
ramesh.people.iitgn.ac.in,204.15.132.106
webdisk.webmaster.people.iitgn.ac.in,204.15.132.106
webdisk.shanmuga.people.iitgn.ac.in,204.15.132.106
webmail.vijay.people.iitgn.ac.in,204.15.132.106
webmail.neeldhara.people.iitgn.ac.in,204.15.132.106
webmail.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106
webmail.mana.people.iitgn.ac.in,204.15.132.106
webdisk.sudhir.people.iitgn.ac.in,204.15.132.106
webmail.vineet.people.iitgn.ac.in,204.15.132.106
webmail.cst.people.iitgn.ac.in,204.15.132.106
webmail.ftpsrv.people.iitgn.ac.in,204.15.132.106
cpcalendars.chandanmishra.people.iitgn.ac.in,204.15.132.106
cpanel.neeldhara.people.iitgn.ac.in,204.15.132.106
webdisk.naran.people.iitgn.ac.in,204.15.132.106
www.admin.people.iitgn.ac.in,204.15.132.106
webdisk.gmanoj.people.iitgn.ac.in,204.15.132.106
www.sharad.people.iitgn.ac.in,204.15.132.106
legacy.iitgn.ac.in,204.15.132.106
cpanel.manishk.people.iitgn.ac.in,204.15.132.106
webdisk.emila.people.iitgn.ac.in,204.15.132.106
tannistha.people.iitgn.ac.in,204.15.132.106
sudhir.people.iitgn.ac.in,204.15.132.106
cs.iitgn.ac.in,72.1.241.142
crtdh.iitgn.ac.in,204.15.132.106
mail.viru.people.iitgn.ac.in,204.15.132.106
bio.iitgn.ac.in,204.15.132.106
emila.people.iitgn.ac.in,204.15.132.106
imssupport.iitgn.ac.in,14.139.98.56
webmail.krjp.people.iitgn.ac.in,204.15.132.106
cpanel.area51.people.iitgn.ac.in,204.15.132.106
cpcontacts.ftpsrv.people.iitgn.ac.in,204.15.132.106
cpcalendars.sriram.people.iitgn.ac.in,204.15.132.106
cpcontacts.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106
cpcontacts.gauravs.people.iitgn.ac.in,204.15.132.106
cpcontacts.atulsingh.people.iitgn.ac.in,204.15.132.106
cpcalendars.webmaster.people.iitgn.ac.in,204.15.132.106
cpcontacts.neeldhara.people.iitgn.ac.in,204.15.132.106
cpcontacts.arnapurna.people.iitgn.ac.in,204.15.132.106
cpcontacts.manua.people.iitgn.ac.in,204.15.132.106
www.mana.people.iitgn.ac.in,204.15.132.106
webmail.shanmuga.people.iitgn.ac.in,204.15.132.106
webdisk.radhakrishna.people.iitgn.ac.in,204.15.132.106
cpcalendars.manua.people.iitgn.ac.in,204.15.132.106
cpcontacts.support.people.iitgn.ac.in,204.15.132.106
mail.admin.people.iitgn.ac.in,204.15.132.106
alumni.iitgn.ac.in,52.74.41.140
cpcalendars.radhakrishna.people.iitgn.ac.in,204.15.132.106
chetan.people.iitgn.ac.in,204.15.132.106
webdisk.adixit.people.iitgn.ac.in,204.15.132.106
cpcalendars.ftpsrv.people.iitgn.ac.in,204.15.132.106
cpcalendars.manishk.people.iitgn.ac.in,204.15.132.106
webdisk.gauravs.people.iitgn.ac.in,204.15.132.106
cpcalendars.hegder.people.iitgn.ac.in,204.15.132.106
cpcalendars.kprasad.people.iitgn.ac.in,204.15.132.106
cpcalendars.adixit.people.iitgn.ac.in,204.15.132.106
cpcalendars.atulsingh.people.iitgn.ac.in,204.15.132.106
cpcalendars.area51.people.iitgn.ac.in,204.15.132.106
cpcalendars.joycee.people.iitgn.ac.in,204.15.132.106
brochures.iitgn.ac.in,192.185.129.4
www.demo.people.iitgn.ac.in,204.15.132.106
www.sameer.people.iitgn.ac.in,204.15.132.106
safety.iitgn.ac.in,72.1.241.142
www.shanmuga.people.iitgn.ac.in,204.15.132.106
dilip.people.iitgn.ac.in,204.15.132.106
cpcontacts.vineet.people.iitgn.ac.in,204.15.132.106
cpanel.gauravs.people.iitgn.ac.in,204.15.132.106
cpanel.sameer.people.iitgn.ac.in,204.15.132.106
cpanel.tannistha.people.iitgn.ac.in,204.15.132.106
convocation.iitgn.ac.in,192.185.129.39
www.ftpsrv17.people.iitgn.ac.in,204.15.132.106
cpanel.support.people.iitgn.ac.in,204.15.132.106
cpanel.gmanoj.people.iitgn.ac.in,204.15.132.106
www.vineet.people.iitgn.ac.in,204.15.132.106
news.iitgn.ac.in,192.185.129.4
mail.dgarg.people.iitgn.ac.in,204.15.132.106
mail.ftpsrv.people.iitgn.ac.in,204.15.132.106
mail.chandanmishra.people.iitgn.ac.in,204.15.132.106
mail.barath.people.iitgn.ac.in,204.15.132.106
www.pedropombo.people.iitgn.ac.in,204.15.132.106
cpanel.nihar.people.iitgn.ac.in,204.15.132.106
webdisk.joycee.people.iitgn.ac.in,204.15.132.106
cpanel.emila.people.iitgn.ac.in,204.15.132.106
webmail.pedropombo.people.iitgn.ac.in,204.15.132.106
research.iitgn.ac.in,72.1.241.142
websocket.iitgn.ac.in,14.139.98.240
webmail.babji.people.iitgn.ac.in,204.15.132.106
webmail.naran.people.iitgn.ac.in,204.15.132.106
webdisk.tannistha.people.iitgn.ac.in,204.15.132.106
webmail.demo.people.iitgn.ac.in,204.15.132.106
webmail.support.people.iitgn.ac.in,204.15.132.106
webdisk.surjeet.people.iitgn.ac.in,204.15.132.106
webmail.arnapurna.people.iitgn.ac.in,204.15.132.106
webdisk.sjolad.people.iitgn.ac.in,204.15.132.106
maintenance.iitgn.ac.in,192.185.129.4
ssharma.people.iitgn.ac.in,204.15.132.106
mail.ssharma.people.iitgn.ac.in,204.15.132.106
www.hegder.people.iitgn.ac.in,204.15.132.106
cpcalendars.ssharma.people.iitgn.ac.in,204.15.132.106
istf.iitgn.ac.in,14.139.98.214
cpcalendars.ramesh.people.iitgn.ac.in,204.15.132.106
www.sairam.people.iitgn.ac.in,204.15.132.106
devtest.iitgn.ac.in,72.1.241.142
cpanel.arnapurna.people.iitgn.ac.in,204.15.132.106
cpanel.ftpsrv.people.iitgn.ac.in,204.15.132.106
